ckpt,block,kind,layer,incumbent,rule,L0,L_after,gain_vs_incumbent,is_best,best_gain_alt,proxy_free,proxy_same,proxy_own,proxy_fit,proxy_lookahead
100,L1.up,up,1,spectral,rows,2.4497213661670685,2.3667725026607513,0.00026163458824157715,True,-0.0010558366775512695,18.552310415795148,39.29361737042078,83.38195048999151,0.878130316734314,0.010582447052001953
100,L1.up,up,1,spectral,cols,2.4497213661670685,2.3679471611976624,-0.0009130239486694336,False,,11.349670148356404,23.389627697360016,65.36672620955602,0.9763792157173157,0.011704683303833008
100,L1.up,up,1,spectral,spectral,2.4497213661670685,2.367034137248993,0.0,False,,11.129659703220925,29.798048725308785,348.7066832757617,0.40936511754989624,0.005598783493041992
100,L1.up,up,1,spectral,normuon,2.4497213661670685,2.3671723008155823,-0.00013816356658935547,False,,11.129659703220925,29.798048725308785,416.21894061982556,0.40936511754989624,0.00520014762878418
100,L1.up,up,1,spectral,pw05,2.4497213661670685,2.3671634793281555,-0.00012934207916259766,False,,9.819702749291203,22.102082929745094,116.26611116323677,0.6636137526281808,0.009922504425048828
100,L1.down,down,1,spectral,adam,2.4497213661670685,2.3672909140586853,-0.0002567768096923828,False,,41.94599050008721,88.07312685034913,278.0143440290432,0.5583502650260925,0.0034584999084472656
100,L1.down,down,1,spectral,sign,2.4497213661670685,2.3694315254688263,-0.002397388219833374,False,,41.94599050008721,88.07312685034913,69.20251483479926,0.5583502650260925,0.008265972137451172
100,L1.down,down,1,spectral,euclid,2.4497213661670685,2.3709087669849396,-0.0038746297359466553,False,,10.195227329709972,20.896107449967364,41.56294794397302,1.0000005960464478,0.012145757675170898
100,L1.down,down,1,spectral,rows,2.4497213661670685,2.370888888835907,-0.0038547515869140625,False,,10.672558423934587,22.24497221704069,48.556556939406796,0.9625034928321838,0.01168680191040039
100,L1.down,down,1,spectral,cols,2.4497213661670685,2.369981437921524,-0.002947300672531128,False,,16.094235622928803,33.70177217578043,71.82221270413297,0.8741657733917236,0.01009368896484375
100,L1.down,down,1,spectral,spectral,2.4497213661670685,2.367034137248993,0.0,True,0.0,9.86514530180544,25.42845972172602,351.78898243288387,0.30657264590263367,0.004651784896850586
100,L1.down,down,1,spectral,normuon,2.4497213661670685,2.3670437335968018,-9.59634780883789e-06,False,,9.86514530180544,25.42845972172602,350.086122976985,0.30657264590263367,0.004654645919799805
100,L1.down,down,1,spectral,pw05,2.4497213661670685,2.369293987751007,-0.00225985050201416,False,,8.837620998523573,19.56040779638246,86.83713533611306,0.5858959686236968,0.009878873825073242
100,L2.q,q,2,spectral,adam,2.4497213661670685,2.368867814540863,-0.0018336772918701172,False,,30.880153540213428,63.81728409403314,406.3614793507507,0.42316728830337524,0.0017688274383544922
100,L2.q,q,2,spectral,sign,2.4497213661670685,2.3686830401420593,-0.0016489028930664062,False,,30.880153540213428,63.81728409403314,111.52544903644704,0.42316728830337524,0.0018620491027832031
100,L2.q,q,2,spectral,euclid,2.4497213661670685,2.3689798712730408,-0.0019457340240478516,False,,11.275980112956502,22.45644084618403,70.18136993333674,1.000001072883606,0.0028390884399414062
100,L2.q,q,2,spectral,rows,2.4497213661670685,2.3689281940460205,-0.0018940567970275879,False,,11.601887450422513,23.709473579216993,112.36453070309149,0.68331378698349,0.002286195755004883
