arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
lion,0.0003,1,50,3.8296284246444703,3.4759724736213684,0.0002967144078248689,1.02
lion,0.0003,1,100,3.2191073369979857,3.0822489857673645,0.0002587788800119646,2.1
lion,0.0003,1,150,2.936646990776062,2.8949745893478394,0.00018998781461103644,3.36
lion,0.0003,1,200,2.7966991090774536,2.7854097485542297,0.0001129751490707695,4.63
lion,0.0003,1,250,2.728460655212402,2.7375144362449646,5.307992770506938e-05,5.92
lion,0.0003,1,300,2.689932928085327,2.712078034877777,3.0009138419492103e-05,7.5
lion,0.001,0,50,3.474537205696106,2.9220577478408813,0.0009890480260828964,1.36
lion,0.001,0,100,2.715418381690979,2.6659579277038574,0.0008625962667065488,2.69
lion,0.001,0,150,2.574226984977722,2.586674392223358,0.0006332927153701216,4.07
lion,0.001,0,200,2.5049197769165037,2.5044742822647095,0.00037658383023589836,5.85
lion,0.001,0,250,2.4449208784103393,2.4765379428863525,0.00017693309235023127,7.18
lion,0.001,0,300,2.410758237838745,2.451341986656189,0.00010003046139830702,8.19
lion,0.001,1,50,3.5175655698776245,2.967797636985779,0.0009890480260828964,1.01
lion,0.001,1,100,2.751353883743286,2.689918577671051,0.0008625962667065488,2.36
lion,0.001,1,150,2.5842192029953,2.6046230792999268,0.0006332927153701216,3.48
lion,0.001,1,200,2.5101825380325318,2.5333606600761414,0.00037658383023589836,4.61
lion,0.001,1,250,2.4720722341537478,2.4916378259658813,0.00017693309235023127,5.78
lion,0.001,1,300,2.429767198562622,2.4650065302848816,0.00010003046139830702,7.27
lion,0.003,0,50,3.2947659921646117,2.872768998146057,0.0029671440782486893,1.01
lion,0.003,0,100,2.739806685447693,2.726445972919464,0.0025877888001196465,2.08
lion,0.003,0,150,2.6448624992370604,2.653241455554962,0.0018998781461103647,3.12
lion,0.003,0,200,2.600636434555054,2.613670825958252,0.0011297514907076952,4.55
lion,0.003,0,250,2.565908579826355,2.5962565541267395,0.0005307992770506938,5.82
lion,0.003,0,300,2.5479758024215697,2.580175817012787,0.00030009138419492105,6.91
lion,0.003,1,50,3.345521879196167,2.880504548549652,0.0029671440782486893,1.0
lion,0.003,1,100,2.743026056289673,2.704212486743927,0.0025877888001196465,2.42
lion,0.003,1,150,2.6281527137756346,2.6400362253189087,0.0018998781461103647,3.67
lion,0.003,1,200,2.558459982872009,2.5846246480941772,0.0011297514907076952,4.82
lion,0.003,1,250,2.5258427906036376,2.5387982726097107,0.0005307992770506938,6.29
lion,0.003,1,300,2.4846893692016603,2.5096688866615295,0.00030009138419492105,8.2
lion,0.01,0,50,3.464593620300293,3.2183817625045776,0.009890480260828964,1.17
lion,0.01,0,100,3.1357364511489867,3.1503257751464844,0.008625962667065487,2.47
lion,0.01,0,150,3.0661848163604737,3.1197251081466675,0.006332927153701215,3.9
lion,0.01,0,200,3.067244873046875,3.1227527856826782,0.003765838302358984,5.27
lion,0.01,0,250,3.0527164363861083,3.098636209964752,0.0017693309235023128,6.45
lion,0.01,0,300,3.0266424894332884,3.0799666047096252,0.0010003046139830702,8.11
lion,0.01,1,50,3.4344258165359496,3.183311641216278,0.009890480260828964,1.02
lion,0.01,1,100,3.0676319646835326,3.02817040681839,0.008625962667065487,2.22
lion,0.01,1,150,2.946201190948486,2.982767105102539,0.006332927153701215,3.61
lion,0.01,1,200,2.907103877067566,2.9508302211761475,0.003765838302358984,5.11
lion,0.01,1,250,2.887437114715576,2.9071364998817444,0.0017693309235023128,6.35
lion,0.01,1,300,2.865006799697876,2.901777505874634,0.0010003046139830702,7.62
adam_mini,0.001,0,50,3.4775309801101684,2.9102929830551147,0.0009890480260828964,1.47
adam_mini,0.001,0,100,2.7128243827819825,2.6514238715171814,0.0008625962667065488,2.56
adam_mini,0.001,0,150,2.5735374069213868,2.5743702054023743,0.0006332927153701216,3.68
adam_mini,0.001,0,200,2.522655897140503,2.5427945256233215,0.00037658383023589836,4.77
adam_mini,0.001,0,250,2.4847704792022705,2.515328884124756,0.00017693309235023127,6.19
adam_mini,0.001,0,300,2.468467631340027,2.502139925956726,0.00010003046139830702,7.6
adam_mini,0.001,1,50,3.510724196434021,2.958073139190674,0.0009890480260828964,1.17
adam_mini,0.001,1,100,2.732918562889099,2.6602233052253723,0.0008625962667065488,2.6
adam_mini,0.001,1,150,2.5777197790145876,2.577294170856476,0.0006332927153701216,3.89
adam_mini,0.001,1,200,2.5154651737213136,2.5342605113983154,0.00037658383023589836,4.99
adam_mini,0.001,1,250,2.4973601341247558,2.5222848653793335,0.00017693309235023127,6.09
adam_mini,0.001,1,300,2.4740497732162474,2.5066922307014465,0.00010003046139830702,8.12
adam_mini,0.003,0,50,3.17581494808197,2.678092658519745,0.0029671440782486893,1.09
adam_mini,0.003,0,100,2.5789600610733032,2.5680750012397766,0.0025877888001196465,2.17
adam_mini,0.003,0,150,2.5034177446365358,2.52797669172287,0.0018998781461103647,3.34
adam_mini,0.003,0,200,2.468829770088196,2.4927677512168884,0.0011297514907076952,4.85
adam_mini,0.003,0,250,2.4281632041931154,2.4636127948760986,0.0005307992770506938,6.11
adam_mini,0.003,0,300,2.409050269126892,2.4519967436790466,0.00030009138419492105,7.21
adam_mini,0.003,1,50,3.2077213954925536,2.7130565643310547,0.0029671440782486893,1.31
adam_mini,0.003,1,100,2.5910720777511598,2.5920008420944214,0.0025877888001196465,2.5
adam_mini,0.003,1,150,2.5078943824768065,2.5271921157836914,0.0018998781461103647,4.99
adam_mini,0.003,1,200,2.4599738836288454,2.49094420671463,0.0011297514907076952,6.64
adam_mini,0.003,1,250,2.4281002616882326,2.457397222518921,0.0005307992770506938,7.86
adam_mini,0.003,1,300,2.3921794795989992,2.424508273601532,0.00030009138419492105,9.06
adam_mini,0.01,0,50,2.9710275316238404,2.6388550400733948,0.009890480260828964,1.25
adam_mini,0.01,0,100,2.565056114196777,2.5663719177246094,0.008625962667065487,2.56
adam_mini,0.01,0,150,2.5037260389328004,2.589777112007141,0.006332927153701215,4.71
adam_mini,0.01,0,200,2.457571120262146,2.458465039730072,0.003765838302358984,6.3
adam_mini,0.01,0,250,2.3702895736694334,2.4076902270317078,0.0017693309235023128,7.49
adam_mini,0.01,0,300,2.3229105949401854,2.358522057533264,0.0010003046139830702,8.78
adam_mini,0.01,1,50,3.0626512002944946,2.685410499572754,0.009890480260828964,1.24
adam_mini,0.01,1,100,2.60619987487793,2.623843729496002,0.008625962667065487,2.72
adam_mini,0.01,1,150,2.5388149309158323,2.56045138835907,0.006332927153701215,4.82
adam_mini,0.01,1,200,2.493528599739075,2.53970605134964,0.003765838302358984,6.5
adam_mini,0.01,1,250,2.457181887626648,2.481138229370117,0.0017693309235023128,7.85
adam_mini,0.01,1,300,2.4035347509384155,2.4426733255386353,0.0010003046139830702,9.2
adam_mini,0.03,0,50,3.4514443397521974,3.4055014848709106,0.02967144078248689,1.23
adam_mini,0.03,0,100,3.3122640800476075,3.32090961933136,0.02587788800119646,2.77
adam_mini,0.03,0,150,3.1988195276260374,3.1818214654922485,0.018998781461103644,4.15
adam_mini,0.03,0,200,3.0089273500442504,2.954982340335846,0.01129751490707695,5.44
adam_mini,0.03,0,250,2.8775652980804445,2.873111844062805,0.005307992770506938,7.16
adam_mini,0.03,0,300,2.8296559047698975,2.831383526325226,0.0030009138419492105,8.48
adam_mini,0.03,1,50,3.3834118366241457,3.2795236110687256,0.02967144078248689,1.31
