phase,arm,lr,seed,decile,loss,median_train_count
tune,duality,0.00333333,0,3,4.976691722869873,168.0
tune,duality,0.00333333,0,4,4.85072135925293,389.0
tune,duality,0.00333333,0,5,4.255875110626221,845.0
tune,duality,0.00333333,0,6,3.822381019592285,1959.0
tune,duality,0.00333333,0,7,3.22053861618042,4918.0
tune,duality,0.00333333,0,8,1.714417576789856,17804.0
tune,duality,0.00333333,0,9,0.8479289412498474,35773.0
tune,duality,0.01,0,0,11.324384689331055,3.0
tune,duality,0.01,0,1,7.3102898597717285,19.0
tune,duality,0.01,0,2,6.742247104644775,54.0
tune,duality,0.01,0,3,4.911450386047363,168.0
tune,duality,0.01,0,4,4.747421741485596,389.0
tune,duality,0.01,0,5,4.200442790985107,845.0
tune,duality,0.01,0,6,3.714144706726074,1959.0
tune,duality,0.01,0,7,3.2079858779907227,4918.0
tune,duality,0.01,0,8,1.7226539850234985,17804.0
tune,duality,0.01,0,9,0.8076108694076538,35773.0
tune,duality,0.03,0,0,11.378582954406738,3.0
tune,duality,0.03,0,1,7.340080738067627,19.0
tune,duality,0.03,0,2,6.820395469665527,54.0
tune,duality,0.03,0,3,5.045617580413818,168.0
tune,duality,0.03,0,4,4.908875942230225,389.0
tune,duality,0.03,0,5,4.336626052856445,845.0
tune,duality,0.03,0,6,3.837772846221924,1959.0
tune,duality,0.03,0,7,3.2668981552124023,4918.0
tune,duality,0.03,0,8,1.7599619626998901,17804.0
tune,duality,0.03,0,9,0.9197844862937927,35773.0
eval,duality,0.01,1,0,11.37313175201416,3.0
eval,duality,0.01,1,1,7.476996421813965,19.0
eval,duality,0.01,1,2,6.898175239562988,54.0
eval,duality,0.01,1,3,4.812697410583496,168.0
eval,duality,0.01,1,4,4.809232711791992,389.0
eval,duality,0.01,1,5,4.219537734985352,845.0
eval,duality,0.01,1,6,3.7241408824920654,1959.0
eval,duality,0.01,1,7,3.141277551651001,4918.0
eval,duality,0.01,1,8,1.6100541353225708,17804.0
eval,duality,0.01,1,9,0.7535738348960876,35773.0
eval,duality,0.01,2,0,11.240395545959473,3.0
eval,duality,0.01,2,1,7.327917098999023,19.0
eval,duality,0.01,2,2,6.874714374542236,54.0
eval,duality,0.01,2,3,4.794672012329102,168.0
eval,duality,0.01,2,4,4.752500534057617,389.0
eval,duality,0.01,2,5,4.348698139190674,845.0
eval,duality,0.01,2,6,3.6973578929901123,1959.0
eval,duality,0.01,2,7,3.087430715560913,4918.0
eval,duality,0.01,2,8,1.6521375179290771,17804.0
eval,duality,0.01,2,9,0.793246865272522,35773.0
eval,duality,0.01,3,0,11.29898452758789,3.0
eval,duality,0.01,3,1,7.341897964477539,19.0
eval,duality,0.01,3,2,6.805717468261719,54.0
eval,duality,0.01,3,3,4.90772819519043,168.0
eval,duality,0.01,3,4,4.8142900466918945,389.0
eval,duality,0.01,3,5,4.185919761657715,845.0
eval,duality,0.01,3,6,3.7560875415802,1959.0
eval,duality,0.01,3,7,3.195971727371216,4918.0
